date,open,close,high,low,volume
1989-04-28,39.2500,9.0500,39.5000,38.5000,3725600
1989-04-27,39.5000,9.1300,40.0000,39.0000,4988000
1989-04-26,40.0000,9.2200,40.2500,39.1300,6652000
1989-04-25,40.0000,9.2800,40.5000,39.7500,4165600
1989-04-24,40.0000,9.3100,40.2500,39.5000,3977600
1989-04-21,40.5000,9.3100,40.8800,39.7500,4132000
1989-04-20,40.7500,9.4500,41.5000,40.2500,6434400
1989-04-19,40.0000,9.4800,41.6300,39.7500,15215600
1989-04-18,39.5000,9.3100,40.5000,39.2500,20055200
1989-04-17,38.5000,9.1000,39.2500,38.0000,5008000
1989-04-14,39.0000,8.9900,39.2500,38.2500,4408800
1989-04-13,38.7500,8.9300,39.5000,38.2500,6493200
1989-04-12,38.2500,8.9300,39.2500,37.8800,13862000
1989-04-11,37.5000,8.7600,38.0000,37.0000,5252400
1989-04-10,37.2500,8.5800,38.0000,36.7500,4854400
1989-04-07,36.0000,8.6700,37.5000,36.0000,12699200
1989-04-06,34.7500,8.3500,36.1300,34.5000,5598800
1989-04-05,34.5000,8.1200,35.2500,34.2500,4303200
1989-04-04,34.5000,8.0000,34.8800,33.8800,4140800
1989-04-03,35.5000,8.1200,36.2500,34.7500,5949200
1989-03-31,35.0000,8.2600,35.7500,34.7500,6630800
1989-03-30,34.2500,8.0600,35.0000,34.0000,3780800
1989-03-29,34.0000,7.9400,34.5000,34.0000,2666800
1989-03-28,34.0000,7.8900,34.5000,34.0000,5047600
1989-03-27,34.2500,7.8300,34.5000,33.5000,5425600
1989-03-23,34.0000,7.9700,34.5000,33.7500,4250800
1989-03-22,34.2500,7.8600,34.7500,33.7500,5180800
1989-03-21,35.5000,8.0900,35.5000,34.7500,4588800
1989-03-20,35.0000,8.0900,35.2500,34.5000,6480800
1989-03-17,34.5000,8.0900,35.7500,34.0000,8485200
1989-03-16,35.0000,8.1800,35.5000,34.5000,6880000
1989-03-15,35.2500,8.1200,35.5000,34.7500,3225600
1989-03-14,35.0000,8.1800,35.5000,34.8800,5796800
1989-03-13,35.0000,8.1200,35.5000,34.7500,4683600
1989-03-10,34.5000,8.1200,35.0000,34.2500,3684400
1989-03-09,35.2500,8.0000,35.7500,34.5000,4768800
1989-03-08,35.6300,8.1800,36.2500,35.2500,7727600
1989-03-07,35.5000,8.2900,36.0000,35.0000,9327600
1989-03-06,35.0000,8.2300,35.8800,34.5000,6028800
1989-03-03,35.2500,8.0600,35.2500,34.0000,13854400
1989-03-02,35.7500,8.1200,36.2500,34.7500,13440800
1989-03-01,36.2500,8.3500,36.5000,35.5000,6096400
1989-02-28,36.5000,8.4100,36.7500,36.0000,6290000
1989-02-27,36.0000,8.4700,36.5000,35.7500,4151200
1989-02-24,37.0000,8.3500,37.0000,36.0000,5452000
